Dödsorsaksstatistik, Antal döda per 100 000, C61 Malign tumör i prostata, Ålder: 45-85+, Män
År;Region;45­49;50­54;55­59;60­64;65­69;70­74;75­79;80­84;85+;Totalt
2007;Blekinge län;­­;­­;19,18;35,17;23,57;145,05;552,69;511,25;1007,05;142,86
2007;Skåne län;­­;8,09;18,20;33,21;87,26;129,80;322,26;578,96;933,43;124,78
2007;Hallands län;­­;­­;41,04;30,16;121,54;179,36;263,33;607,46;1175,17;146,27
2007;Västra Götalands län;­­;2,03;7,95;24,13;53,67;161,96;362,47;513,99;952,02;119,49
2007;Värmlands län;­­;10,72;­­;­­;84,25;272,92;254,25;771,67;917,26;140,94
2007;Örebro län;­­;11,41;­­;10,03;84,12;139,19;394,94;753,69;964,69;138,31
2007;Västmanlands län;­­;12,55;11,62;22,82;74,57;124,68;298,28;758,62;1326,07;142,22
2007;Dalarnas län;­­;­­;9,51;­­;39,96;155,71;248,89;462,96;1135,56;114,94
2007;Gävleborgs län;­­;10,64;29,42;18,83;119,78;236,69;341,78;771,67;1061,53;158,30
2007;Västernorrlands län;­­;­­;33,15;43,09;88,95;109,93;512,53;596,17;1388,27;162,32
2007;Jämtlands län;­­;­­;21,26;­­;183,88;149,50;355,24;749,28;1163,64;163,15
2007;Västerbottens län;­­;­­;11,30;35,32;114,08;176,71;362,76;658,11;980,39;137,94
2007;Norrbottens län;­­;­­;­­;54,12;88,20;224,64;326,51;697,44;1135,14;138,45
2006;Riket;1,01;3,07;10,26;38,49;73,21;172,52;338,06;634,44;1033,86;131,29
2006;Stockholms län;­­;3,42;10,15;43,90;92,83;206,10;333,49;663,82;969,84;118,84
2006;Uppsala län;­­;­­;9,16;39,31;14,97;123,13;313,37;812,35;1229,07;127,08
2006;Södermanlands län;­­;­­;30,77;62,89;86,72;152,60;285,95;283,78;722,67;103,12
2006;Östergötlands län;7,46;­­;7,02;43,95;92,66;146,35;312,09;527,54;1457,85;146,56
2006;Jönköpings län;­­;­­;­­;56,78;106,81;180,46;506,38;643,47;1036,27;161,66
